run_number	IntLumEndcapEE	startTime	endTime	2*sqrt(BPR_PRB*BER_PRB)*cos(0.022/2)*1000.	BER_PRB*1000	BPR_PRB*1000	S_R3O_BI_DCCT_current	E_R3O_BI_DCCT_current	S_R4O_BI_DCCT_current	E_R4O_BI_DCCT_current
55177	1170.33	2018-04-23 06:55:16	2018-04-23 07:51:48	3563.5107411197	1781.7145726772	1782.011784106	542.869402762	358.185434416	555.914899058	384.102974357
55179	1192.44	2018-04-23 10:17:43	2018-04-23 11:16:42	3563.4498688236	1781.771258684	1781.8942118476	547.77987769	366.455919706	545.136175092	360.405224022
55180	1229	2018-04-23 11:29:25	2018-04-23 11:49:28	3563.4498688236	1781.771258684	1781.8942118476	530.607125172	462.139411298	549.428250008	477.118704514
55181	1227.82	2018-04-23 12:40:58	2018-04-23 13:40:31	3563.2714433191	1781.7145726772	1781.7724599036	543.024831486	357.08658576	563.053271709	375.066660715
55182	1235.8	2018-04-23 13:49:38	2018-04-23 14:49:37	3563.4498735701	1781.7145726772	1781.9509083167	542.077829048	360.792898364	567.789541727	374.931353663
55183	1256.98	2018-04-23 14:56:40	2018-04-23 15:56:42	3563.3931784637	1781.832135675	1781.7766393777	540.783943962	343.64258154	559.30952842	376.247599093
55184	1229.94	2018-04-23 16:05:36	2018-04-23 16:14:51	3563.3931838398	1781.7145726772	1781.8942118476	535.320802438	498.544877298	560.620401009	529.798283631
55185	445.327	2018-04-23 17:11:38	2018-04-23 17:31:14	3563.5107401431	1781.6578865809	1782.0684804852	541.006279488	458.61540622	565.04196743	499.896592273
55186	686.846	2018-04-23 17:34:21	2018-04-23 18:09:44	3563.4582318025	1781.6578865809	1782.0159633042	444.469250838	344.630252426	489.305917742	387.879638874
55187	1188.12	2018-04-23 18:17:32	2018-04-23 19:14:42	3563.3931772	1781.771258684	1781.8375152888	539.84792921	361.608608962	562.068935041	378.848698073
55188	1212.55	2018-04-23 19:22:05	2018-04-23 20:20:39	3563.4456812	1781.827944601	1781.8333359365	541.754042556	360.471233356	555.71354832	372.393078689
55189	1189.86	2018-04-23 20:29:22	2018-04-23 21:27:33	3563.4540511198	1781.832135675	1781.8375152888	536.40271925	360.038370564	544.768125422	366.895958041
55190	1225.78	2018-04-23 21:34:19	2018-04-23 22:33:30	3563.5191107073	1781.7187635719	1782.0159633042	543.188325852	356.36508106	557.474652911	375.394041802
55191	1216.65	2018-04-23 22:39:41	2018-04-23 23:39:27	3563.4498688236	1781.771258684	1781.8942118476	546.617284444	358.830245468	553.837159062	372.834255341
55192	1156.95	2018-04-23 23:45:53	2018-04-23 23:48:19	3563.3323055837	1781.771258684	1781.7766393777	540.13212801	532.505813324	540.639972464	533.009854062
55193	1174.75	2018-04-24 00:50:39	2018-04-24 01:49:11	3563.4498688236	1781.771258684	1781.8942118476	544.837559508	363.079537892	556.24680782	377.547082064
55194	1175.24	2018-04-24 01:55:27	2018-04-24 02:54:10	3563.4498688236	1781.771258684	1781.8942118476	547.301723216	366.728250204	559.11614639	377.990411877
55195	1208.72	2018-04-24 03:00:14	2018-04-24 04:00:42	3563.4498688236	1781.771258684	1781.8942118476	546.56412726	364.747624736	557.839040195	370.756314115
55196	1189.84	2018-04-24 04:07:26	2018-04-24 05:05:10	3563.5107383099	1781.771258684	1781.9550876368	544.617945886	366.494886964	556.817918683	377.595256526
55197	1006.38	2018-04-24 05:11:35	2018-04-24 06:10:10	3563.5190970291	1781.6578865809	1782.0768388496	542.931446162	367.361232982	529.556686893	359.935855047
55198	1189.44	2018-04-24 06:16:46	2018-04-24 07:15:10	3563.2714433191	1781.7145726772	1781.7724599036	545.282110476	363.824539028	557.198444613	376.647282119
55199	1129.76	2018-04-24 07:25:31	2018-04-24 08:20:57	3563.4582318025	1781.6578865809	1782.0159633042	546.422888462	369.864504046	555.228483405	382.950630762
55200	1125.11	2018-04-24 08:28:11	2018-04-24 09:26:57	3564.5037250296	1782.2981947814	1782.4211957187	537.221832228	360.936899094	558.98534689	381.858937889
55201	1123.97	2018-04-24 09:33:36	2018-04-24 10:33:06	3564.5079159842	1782.3023858474	1782.4211957187	541.16404985	361.110960852	546.619783513	368.538316809
55202	1205.7	2018-04-24 10:39:25	2018-04-24 11:38:15	3564.5079159842	1782.3023858474	1782.4211957187	542.150459854	350.282906516	562.566918922	385.300473964
55203	1217.06	2018-04-24 11:44:47	2018-04-24 11:49:05	3564.4512314266	1782.2457002003	1782.4211957187	542.559586042	525.287784238	561.453935915	546.55697963
55204	1243.98	2018-04-24 12:49:21	2018-04-24 13:48:50	3564.5079159842	1782.3023858474	1782.4211957187	544.193789184	357.65198126	567.59638105	380.820168506
55205	1195.36	2018-04-24 13:55:23	2018-04-24 14:55:17	3564.3294800637	1782.2415092246	1782.3036241864	538.201037192	361.981329684	555.104143388	371.035742093
55206	1144.28	2018-04-24 15:01:28	2018-04-24 16:00:52	3564.3861619118	1782.3590714042	1782.242748641	542.858815356	364.701872732	554.979159435	377.898349152
55207	1139.42	2018-04-24 16:07:18	2018-04-24 17:06:04	3564.3945336301	1782.1848235775	1782.4253749112	541.186925852	376.28671645	554.87140077	365.768365736
55208	1216.16	2018-04-24 17:12:12	2018-04-24 18:12:30	3564.4470433483	1782.1848235775	1782.4778917371	542.506008564	359.324731366	553.485891974	368.322558003
55209	1183.92	2018-04-24 18:19:15	2018-04-24 19:19:33	3564.3987197958	1782.2457002003	1782.3686787121	543.67600699	370.241868016	559.441173086	369.145789933
55210	398.894	2018-04-24 19:25:52	2018-04-24 19:44:05	3564.4512314266	1782.2457002003	1782.4211957187	543.959365202	0.2562042175	558.975023791	1.52850303523
55211	1196.85	2018-04-24 19:59:47	2018-04-24 20:57:52	3564.3253009504	1782.2415092246	1782.2994447499	532.69872827	348.960641578	564.431475856	385.720803188
55212	550.582	2018-04-24 21:04:34	2018-04-24 21:29:44	3564.3861619118	1782.3590714042	1782.242748641	544.962126644	445.659383348	551.239923698	469.239704848
55213	562.323	2018-04-24 21:32:40	2018-04-24 22:02:48	3564.3294800637	1782.2415092246	1782.3036241864	436.260728892	354.28592667	459.687356994	375.237022033
55214	1199.57	2018-04-24 22:09:22	2018-04-24 23:08:03	3564.4512247441	1782.3023858474	1782.3644996098	542.68771567	357.9433851	555.933392095	375.165384153
55215	195.755	2018-04-24 23:14:21	2018-04-24 23:23:24	3564.3378470463	1782.1281378402	1782.4253749112	541.334108808	504.846685478	557.314393339	527.086387413
55216	355.235	2018-04-24 23:29:22	2018-04-24 23:48:28	3564.5120947822	1782.3023858474	1782.4253749112	480.47089436	420.790627396	504.412595933	445.463736412
55217	319.142	2018-04-24 23:55:07	2018-04-25 00:13:24	3564.3945410881	1782.2457002003	1782.3644996098	399.472575198	355.100576526	425.744625145	378.965713318
55218	274.613	2018-04-25 00:22:12	2018-04-25 00:41:52	3564.3903535445	1782.3023858474	1782.3036241864	331.023674484	295.886015328	356.599320786	314.28564229
55220	1165.1	2018-04-25 00:59:28	2018-04-25 04:04:49	3564.5120947822	1782.3023858474	1782.4253749112	264.875423098	105.5247636636	284.001976146	112.4929287549
55221	1135.64	2018-04-25 04:16:06	2018-04-25 05:15:44	3564.3945410881	1782.2457002003	1782.3644996098	530.473911988	352.444818796	558.507385394	378.409654459
55222	1080.89	2018-04-25 05:23:54	2018-04-25 06:22:51	3564.4554101582	1782.2457002003	1782.4253749112	534.07669217	356.552292016	555.437360145	381.91421577
55223	1136.17	2018-04-25 06:29:58	2018-04-25 07:27:59	3564.5079074085	1782.3590714042	1782.3644996098	539.040884674	355.68060226	556.143757937	378.076236472
